Provider,Device,Sub-device,Standardized Model,MSRP,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM),Model_Year,Chipset,Screen Size,Case Size,Charging Method,RAM Configurations (GB),RAM Min (GB),Mac Storage Category,Mac Generation
CompAsia,iPhone,Pro,iPhone 17 Pro,6499.0,,512.0,Unknown,Unknown,,3570.0,2025,A19 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 17 Pro Max,7999.0,,1024.0,Unknown,Unknown,,4370.0,2025,A19 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 17 Pro Max,5999.0,,256.0,Unknown,Unknown,,3300.0,2025,A19 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 17 Pro Max,9999.0,,2048.0,Unknown,Unknown,,5435.0,2025,A19 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 17 Pro Max,6999.0,,512.0,Unknown,Unknown,,3835.0,2025,A19 Pro,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 8 Plus,4599.0,,128.0,Unknown,Unknown,,150.0,2017,A11 Bionic,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 8 Plus,5049.0,,256.0,Unknown,Unknown,,180.0,2017,A11 Bionic,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 8 Plus,4149.0,,64.0,Unknown,Unknown,,120.0,2017,A11 Bionic,,,,,,,Unknown
CompAsia,iPhone,Air,iPhone Air,6999.0,,1024.0,Unknown,Unknown,,3445.0,2025,A19 Pro,,,,,,,Unknown
CompAsia,iPhone,Air,iPhone Air,4999.0,,256.0,Unknown,Unknown,,2490.0,2025,A19 Pro,,,,,,,Unknown
CompAsia,iPhone,Air,iPhone Air,5999.0,,512.0,Unknown,Unknown,,2965.0,2025,A19 Pro,,,,,,,Unknown
CompAsia,iPhone,SE,iPhone SE (2020),2199.0,,128.0,Unknown,Unknown,,175.0,2020,A13 Bionic,,,,,,,Unknown
CompAsia,iPhone,SE,iPhone SE (2020),2699.0,,256.0,Unknown,Unknown,,200.0,2020,A13 Bionic,,,,,,,Unknown
CompAsia,iPhone,SE,iPhone SE (2020),1999.0,,64.0,Unknown,Unknown,,125.0,2020,A13 Bionic,,,,,,,Unknown
CompAsia,iPhone,SE,iPhone SE (2022),2299.0,,128.0,Unknown,Unknown,,325.0,2022,A15 Bionic,,,,,,,Unknown
