Provider,Device,Sub-device,Standardized Model,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM)
iTworld,iPhone,iPhone,iPhone 17,,256 GB,,,,2290
iTworld,iPhone,iPhone,iPhone 17,,512 GB,,,,2700
iTworld,iPhone,iPhone,iPhone 17 Pro,,256 GB,,,,3190
iTworld,iPhone,iPhone,iPhone 17 Pro,,512 GB,,,,3600
iTworld,iPhone,iPhone,iPhone 17 Pro,,1 TB,,,,4150
iTworld,iPhone,iPhone,iPhone 17 Pro Max,,256 GB,,,,3500
iTworld,iPhone,iPhone,iPhone 17 Pro Max,,512 GB,,,,4130
iTworld,iPhone,iPhone,iPhone 17 Pro Max,,1 TB,,,,4800
iTworld,iPhone,iPhone,iPhone 17 Pro Max,,2 TB,,,,6010
iTworld,iPhone,iPhone,iPhone 5s,,16 GB,,,,5
iTworld,iPhone,iPhone,iPhone 5s,,32 GB,,,,5
iTworld,iPhone,iPhone,iPhone 5s,,64 GB,,,,5
iTworld,iPhone,iPhone,iPhone 6,,16 GB,,,,5
iTworld,iPhone,iPhone,iPhone 6,,32 GB,,,,5
iTworld,iPhone,iPhone,iPhone 6,,64 GB,,,,5
iTworld,iPhone,iPhone,iPhone 6,,128 GB,,,,5
iTworld,iPhone,iPhone,iPhone 6 Plus,,16 GB,,,,10
iTworld,iPhone,iPhone,iPhone 6 Plus,,64 GB,,,,10
iTworld,iPhone,iPhone,iPhone 6 Plus,,128 GB,,,,10
iTworld,iPhone,iPhone,iPhone 6s,,16 GB,,,,10
iTworld,iPhone,iPhone,iPhone 6s,,32 GB,,,,10
iTworld,iPhone,iPhone,iPhone 6s,,64 GB,,,,10
iTworld,iPhone,iPhone,iPhone 6s,,128 GB,,,,10
iTworld,iPhone,iPhone,iPhone 6s Plus,,16 GB,,,,20
iTworld,iPhone,iPhone,iPhone 6s Plus,,32 GB,,,,20
iTworld,iPhone,iPhone,iPhone 6s Plus,,64 GB,,,,20
iTworld,iPhone,iPhone,iPhone 6s Plus,,128 GB,,,,20
iTworld,iPhone,iPhone,iPhone 7,,32 GB,,,,50
iTworld,iPhone,iPhone,iPhone 7,,128 GB,,,,70
iTworld,iPhone,iPhone,iPhone 7,,256 GB,,,,90
iTworld,iPhone,iPhone,iPhone 7 Plus,,32 GB,,,,80
iTworld,iPhone,iPhone,iPhone 7 Plus,,128 GB,,,,110
iTworld,iPhone,iPhone,iPhone 7 Plus,,256 GB,,,,140
iTworld,iPhone,iPhone,iPhone 8,,64 GB,,,,120
iTworld,iPhone,iPhone,iPhone 8,,128 GB,,,,140
iTworld,iPhone,iPhone,iPhone 8,,256 GB,,,,180
iTworld,iPhone,iPhone,iPhone 8 Plus,,64 GB,,,,130
iTworld,iPhone,iPhone,iPhone 8 Plus,,128 GB,,,,160
iTworld,iPhone,iPhone,iPhone 8 Plus,,256 GB,,,,190
iTworld,iPhone,iPhone,iPhone Air,,256 GB,,,,2200
iTworld,iPhone,iPhone,iPhone Air,,512 GB,,,,2400
iTworld,iPhone,iPhone,iPhone Air,,1 TB,,,,2800
iTworld,iPhone,iPhone,iPhone SE (2016),,16 GB,,,,5
iTworld,iPhone,iPhone,iPhone SE (2016),,32 GB,,,,5
iTworld,iPhone,iPhone,iPhone SE (2016),,64 GB,,,,5
iTworld,iPhone,iPhone,iPhone SE (2016),,128 GB,,,,5
iTworld,iPhone,iPhone,iPhone SE (2020),,64 GB,,,,120
iTworld,iPhone,iPhone,iPhone SE (2020),,128 GB,,,,170
iTworld,iPhone,iPhone,iPhone SE (2020),,256 GB,,,,220
iTworld,iPhone,iPhone,iPhone SE (2022),,64 GB,,,,170
iTworld,iPhone,iPhone,iPhone SE (2022),,128 GB,,,,220
iTworld,iPhone,iPhone,iPhone SE (2022),,256 GB,,,,270
iTworld,iPhone,iPhone,iPhone X,,64 GB,,,,140
iTworld,iPhone,iPhone,iPhone X,,256 GB,,,,190
iTworld,iPhone,iPhone,iPhone XR,,64 GB,,,,160
iTworld,iPhone,iPhone,iPhone XR,,128 GB,,,,230
iTworld,iPhone,iPhone,iPhone XR,,256 GB,,,,280
iTworld,iPhone,iPhone,iPhone XS,,64 GB,,,,210
iTworld,iPhone,iPhone,iPhone XS,,256 GB,,,,260
iTworld,iPhone,iPhone,iPhone XS,,512 GB,,,,310
iTworld,iPhone,iPhone,iPhone XS Max,,64 GB,,,,290
iTworld,iPhone,iPhone,iPhone XS Max,,256 GB,,,,370
iTworld,iPhone,iPhone,iPhone XS Max,,512 GB,,,,400
Machines,iPhone,iPhone,iPhone SE (2020),,64 GB,,,,125
Machines,iPhone,iPhone,iPhone SE (2020),,128 GB,,,,175
Machines,iPhone,iPhone,iPhone SE (2020),,256 GB,,,,200
Machines,iPhone,iPhone,iPhone SE (2022),,64 GB,,,,275
Machines,iPhone,iPhone,iPhone SE (2022),,128 GB,,,,325
Machines,iPhone,iPhone,iPhone SE (2022),,256 GB,,,,350
Machines,iPhone,iPhone,iPhone 8 Plus,,64 GB,,,,120
Machines,iPhone,iPhone,iPhone 8 Plus,,128 GB,,,,150
Machines,iPhone,iPhone,iPhone 8 Plus,,256 GB,,,,180
Machines,iPhone,iPhone,iPhone X,,64 GB,,,,130
Machines,iPhone,iPhone,iPhone X,,256 GB,,,,185
Machines,iPhone,iPhone,iPhone XR,,64 GB,,,,155
Machines,iPhone,iPhone,iPhone XR,,128 GB,,,,220
Machines,iPhone,iPhone,iPhone XR,,256 GB,,,,270
Machines,iPhone,iPhone,iPhone XS,,64 GB,,,,205
Machines,iPhone,iPhone,iPhone XS,,256 GB,,,,255
Machines,iPhone,iPhone,iPhone XS,,512 GB,,,,305
Machines,iPhone,iPhone,iPhone XS Max,,64 GB,,,,285
Machines,iPhone,iPhone,iPhone XS Max,,256 GB,,,,365
Machines,iPhone,iPhone,iPhone XS Max,,512 GB,,,,390
Machines,iPhone,iPhone,iPhone 11,,64 GB,,,,340
Machines,iPhone,iPhone,iPhone 11,,128 GB,,,,390
Machines,iPhone,iPhone,iPhone 11,,256 GB,,,,450
Machines,iPhone,iPhone,iPhone 11 Pro,,64 GB,,,,415
Machines,iPhone,iPhone,iPhone 11 Pro,,256 GB,,,,490
Machines,iPhone,iPhone,iPhone 11 Pro,,512 GB,,,,575
Machines,iPhone,iPhone,iPhone 11 Pro Max,,64 GB,,,,475
Machines,iPhone,iPhone,iPhone 11 Pro Max,,256 GB,,,,550
Machines,iPhone,iPhone,iPhone 11 Pro Max,,512 GB,,,,625
Machines,iPhone,iPhone,iPhone 12 Mini,,64 GB,,,,300
Machines,iPhone,iPhone,iPhone 12 Mini,,128 GB,,,,375
Machines,iPhone,iPhone,iPhone 12 Mini,,256 GB,,,,400
Machines,iPhone,iPhone,iPhone 12,,64 GB,,,,450
Machines,iPhone,iPhone,iPhone 12,,128 GB,,,,500
Machines,iPhone,iPhone,iPhone 12,,256 GB,,,,575
Machines,iPhone,iPhone,iPhone 12 Pro,,128 GB,,,,625
Machines,iPhone,iPhone,iPhone 12 Pro,,256 GB,,,,700
Machines,iPhone,iPhone,iPhone 12 Pro,,512 GB,,,,750
Machines,iPhone,iPhone,iPhone 12 Pro Max,,128 GB,,,,800
Machines,iPhone,iPhone,iPhone 12 Pro Max,,256 GB,,,,900
Machines,iPhone,iPhone,iPhone 12 Pro Max,,512 GB,,,,975
Machines,iPhone,iPhone,iPhone 13 Mini,,128 GB,,,,550
Machines,iPhone,iPhone,iPhone 13 Mini,,256 GB,,,,600
Machines,iPhone,iPhone,iPhone 13 Mini,,512 GB,,,,675
Machines,iPhone,iPhone,iPhone 13,,128 GB,,,,740
Machines,iPhone,iPhone,iPhone 13,,256 GB,,,,840
Machines,iPhone,iPhone,iPhone 13,,512 GB,,,,900
Machines,iPhone,iPhone,iPhone 13 Pro,,128 GB,,,,975
Machines,iPhone,iPhone,iPhone 13 Pro,,256 GB,,,,1050
Machines,iPhone,iPhone,iPhone 13 Pro,,512 GB,,,,1140
Machines,iPhone,iPhone,iPhone 13 Pro,,1 TB,,,,1250
Machines,iPhone,iPhone,iPhone 13 Pro Max,,128 GB,,,,1100
Machines,iPhone,iPhone,iPhone 13 Pro Max,,256 GB,,,,1275
Machines,iPhone,iPhone,iPhone 13 Pro Max,,512 GB,,,,1325
Machines,iPhone,iPhone,iPhone 13 Pro Max,,1 TB,,,,1450
Machines,iPhone,iPhone,iPhone 14,,128 GB,,,,925
Machines,iPhone,iPhone,iPhone 14,,256 GB,,,,1000
Machines,iPhone,iPhone,iPhone 14,,512 GB,,,,1100
Machines,iPhone,iPhone,iPhone 14 Plus,,128 GB,,,,1000
Machines,iPhone,iPhone,iPhone 14 Plus,,256 GB,,,,1100
Machines,iPhone,iPhone,iPhone 14 Plus,,512 GB,,,,1225
Machines,iPhone,iPhone,iPhone 14 Pro,,128 GB,,,,1325
Machines,iPhone,iPhone,iPhone 14 Pro,,256 GB,,,,1540
Machines,iPhone,iPhone,iPhone 14 Pro,,512 GB,,,,1600
Machines,iPhone,iPhone,iPhone 14 Pro,,1 TB,,,,1675
Machines,iPhone,iPhone,iPhone 14 Pro Max,,128 GB,,,,1575
Machines,iPhone,iPhone,iPhone 14 Pro Max,,256 GB,,,,1700
Machines,iPhone,iPhone,iPhone 14 Pro Max,,512 GB,,,,1835
Machines,iPhone,iPhone,iPhone 14 Pro Max,,1 TB,,,,1975
Machines,iPhone,iPhone,iPhone 14 (eSIM),,128 GB,,,,850
Machines,iPhone,iPhone,iPhone 14 (eSIM),,256 GB,,,,935
Machines,iPhone,iPhone,iPhone 14 (eSIM),,512 GB,,,,1020
