Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Source URL
,Trade-in Platform,CompAsia,iPad,iPad Pro 4 (12.9-inch),"6GB/128GB, Wi-Fi",900,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 4 (12.9-inch),"6GB/1TB, Wi-Fi",1275,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 4 (12.9-inch),"6GB/256GB, Wi-Fi",1050,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 4 (12.9-inch),"6GB/512GB, Wi-Fi",1175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 4 (12.9-inch),"6GB/128GB, Cellular",1050,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 4 (12.9-inch),"6GB/1TB, Cellular",1400,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 4 (12.9-inch),"6GB/256GB, Cellular",1175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 4 (12.9-inch),"6GB/512GB, Cellular",1325,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 5 (12.9-inch),"1TB, Wi-Fi",1475,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 5 (12.9-inch),"2TB, Wi-Fi",1700,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 5 (12.9-inch),"8GB/128GB, Wi-Fi",1150,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 5 (12.9-inch),"8GB/256GB, Wi-Fi",1250,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 5 (12.9-inch),"8GB/512GB, Wi-Fi",1350,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 5 (12.9-inch),"1TB, Cellular",1625,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 5 (12.9-inch),"2TB, Cellular",1775,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 5 (12.9-inch),"8GB/128GB, Cellular",1225,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 5 (12.9-inch),"8GB/256GB, Cellular",1325,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 5 (12.9-inch),"8GB/512GB, Cellular",1475,https://compasia.my/pages/trade-in
